region,target,rmse,mae,mape,smape,r2
DE,load_mw,305.120962,187.869415,0.003912,0.003904,0.998848
DE,wind_mw,169.485983,105.948874,0.023024,0.020217,0.999446
DE,solar_mw,242.677304,117.075633,52765596.917931,0.697254,0.999287
DE,price_eur_mwh,4.943091,2.258925,1.291186,0.099537,0.899536
US_MISO,load_mw,182.227318,134.311474,0.001741,0.001741,0.999358
US_MISO,wind_mw,334.280453,183.727117,788697459.210243,0.022836,0.997561
US_MISO,solar_mw,211.661104,73.222615,15132125.075995,0.478704,0.995545
US_ERCOT,load_mw,155.543048,117.158777,0.002303,0.002304,0.998765
US_ERCOT,wind_mw,496.200455,125.475402,2218475137.863318,0.029805,0.994885
US_ERCOT,solar_mw,383.201156,114.146236,85985103.945290,0.904241,0.997677
