region,target,rmse,mae,mape,smape,r2
DE,load_mw,305.120962,187.869415,0.003912,0.003904,0.998848
DE,wind_mw,169.485983,105.948874,0.023024,0.020217,0.999446
DE,solar_mw,242.677304,117.075633,52765596.917931,0.697254,0.999287
DE,price_eur_mwh,4.943091,2.258925,1.291186,0.099537,0.899536
US_MISO,load_mw,182.227318,134.311474,0.001741,0.001741,0.999358
US_MISO,wind_mw,334.280453,183.727117,788697459.210243,0.022836,0.997561
US_MISO,solar_mw,211.661104,73.222615,15132125.075995,0.478704,0.995545
US_PJM,load_mw,402.926109,273.814636,0.002563,0.002568,0.998299
US_PJM,wind_mw,82.094341,50.003036,222369196.577964,0.021656,0.999033
US_PJM,solar_mw,68.652654,33.621739,5351721.871539,0.240756,0.999083
