rank,feature,mean_abs_shap
1,solar_mw_lag_1,4131.020544
2,solar_mw_lag_24,3697.982603
3,solar_mw_delta_1h,875.962772
4,solar_mw_delta_24h,259.270836
5,hour,128.908942
6,solar_mw_lag_168,15.566976
7,solar_mw_roll_std_24,11.344849
8,solar_mw_roll_mean_24,4.98336
9,load_mw_delta_1h,4.833961
10,wx_wind_speed_10m_roll_std_168,4.376385
11,wx_relative_humidity_2m_roll_std_168,3.357691
12,wx_relative_humidity_2m_lag_1,3.112743
13,wind_mw_delta_1h,2.71979
14,wx_relative_humidity_2m,2.632661
15,carbon_kg_per_mwh,2.503936
16,price_eur_mwh_roll_std_24,2.450371
17,price_eur_mwh_lag_24,2.394347
18,wx_wind_speed_10m_lag_168,2.392552
19,wx_cloud_cover_lag_1,2.386862
20,carbon_kg_per_mwh_roll_mean_24,2.307932
21,wx_cloud_cover_roll_mean_24,2.235528
22,wx_wind_speed_10m_roll_std_24,2.209267
23,wx_relative_humidity_2m_lag_24,2.200493
24,wx_cloud_cover,2.18175
25,is_morning_peak,2.133268
26,load_mw_roll_std_168,2.119192
27,wx_wind_speed_10m_lag_24,2.055355
28,wind_mw_delta_24h,1.988215
29,wx_temperature_2m_roll_mean_24,1.967816
30,carbon_kg_per_mwh_lag_24,1.947084
31,price_eur_mwh_lag_1,1.939718
32,wind_mw_lag_1,1.91104
33,wx_temperature_2m_lag_168,1.902952
34,wx_cloud_cover_roll_std_168,1.892466
35,wind_mw_lag_168,1.84356
36,wx_temperature_2m,1.839917
37,load_mw_delta_24h,1.833422
38,carbon_kg_per_mwh_lag_168,1.829597
39,wx_cloud_cover_lag_168,1.820233
40,wind_mw_roll_std_168,1.743262
41,price_eur_mwh_lag_168,1.708688
42,wind_mw_roll_std_24,1.695289
43,load_mw_roll_std_24,1.689024
44,wx_relative_humidity_2m_roll_std_24,1.671785
45,wx_temperature_2m_lag_1,1.657683
46,wx_wind_speed_10m,1.606543
47,price_eur_mwh_roll_mean_24,1.58742
48,wx_precipitation_lag_168,1.584863
49,wx_relative_humidity_2m_lag_168,1.566416
50,wind_mw_lag_24,1.491859
51,wx_wind_speed_10m_lag_1,1.47867
52,load_mw_roll_mean_24,1.475328
53,load_mw_lag_1,1.432401
54,wx_temperature_2m_roll_std_24,1.429278
55,carbon_kg_per_mwh_roll_std_168,1.412092
56,wx_temperature_2m_lag_24,1.317942
57,wx_cloud_cover_roll_std_24,1.292924
58,wx_precipitation,1.212929
59,solar_mw_roll_mean_168,1.172597
60,wx_precipitation_roll_std_168,1.164424
61,load_mw_lag_168,1.137088
62,wx_precipitation_roll_mean_168,1.130692
63,wx_relative_humidity_2m_roll_mean_24,1.127715
64,wx_temperature_2m_roll_std_168,1.125027
65,wx_relative_humidity_2m_roll_mean_168,1.106877
66,wind_mw_roll_mean_24,1.068247
67,carbon_kg_per_mwh_roll_std_24,1.046392
68,carbon_kg_per_mwh_lag_1,1.007952
69,wx_cloud_cover_lag_24,1.004938
70,wx_wind_speed_10m_roll_mean_24,0.987071
71,solar_mw_roll_std_168,0.986318
72,month,0.982177
73,wx_precipitation_lag_24,0.97976
74,price_eur_mwh_roll_std_168,0.901954
75,load_mw_lag_24,0.898136
76,wind_mw_roll_mean_168,0.897008
77,wx_wind_speed_10m_roll_mean_168,0.882257
78,carbon_kg_per_mwh_roll_mean_168,0.783751
79,wx_cloud_cover_roll_mean_168,0.761379
80,price_eur_mwh_roll_mean_168,0.714736
81,wx_precipitation_roll_std_24,0.686551
82,wx_precipitation_roll_mean_24,0.681366
83,wx_precipitation_lag_1,0.559521
84,season,0.466457
85,load_mw_roll_mean_168,0.40936
86,wx_temperature_2m_roll_mean_168,0.334162
87,dayofweek,0.285995
88,is_daylight,0.160947
89,is_evening_peak,0.108238
90,is_weekend,0.014088
91,is_pre_holiday,0.0
92,is_holiday,0.0
93,is_post_holiday,0.0
