rank,feature,mean_abs_shap
1,wind_mw_lag_1,5223.887859
2,wind_mw_delta_1h,683.551141
3,wind_mw_delta_24h,205.679392
4,wind_mw_lag_24,128.537416
5,wind_mw_roll_mean_24,97.319171
6,carbon_kg_per_mwh,21.702129
7,solar_mw_delta_1h,7.40949
8,wx_wind_speed_10m_lag_1,5.230438
9,solar_mw_lag_24,4.627191
10,wind_mw_roll_std_24,4.203647
11,carbon_kg_per_mwh_lag_1,3.280263
12,load_mw_lag_24,3.123805
13,solar_mw_lag_168,3.114252
14,carbon_kg_per_mwh_roll_mean_24,2.985294
15,price_eur_mwh_roll_mean_24,2.876432
16,wx_wind_speed_10m_lag_24,2.669558
17,load_mw_delta_1h,2.403885
18,wx_wind_speed_10m,2.402458
19,carbon_kg_per_mwh_lag_24,2.292899
20,wind_mw_roll_std_168,2.040562
21,load_mw_lag_1,1.997274
22,solar_mw_lag_1,1.661958
23,wx_temperature_2m_lag_1,1.60585
24,solar_mw_roll_mean_24,1.44483
25,price_eur_mwh_roll_mean_168,1.426258
26,wx_wind_speed_10m_roll_mean_24,1.416621
27,load_mw_lag_168,1.408467
28,wx_cloud_cover_roll_mean_24,1.280226
29,wx_cloud_cover_lag_1,1.27376
30,wx_wind_speed_10m_lag_168,1.254987
31,carbon_kg_per_mwh_lag_168,1.234229
32,wx_relative_humidity_2m_lag_24,1.179315
33,wx_wind_speed_10m_roll_std_24,1.178205
34,price_eur_mwh_lag_1,1.1723
35,price_eur_mwh_lag_168,1.16637
36,hour,1.166152
37,wx_wind_speed_10m_roll_std_168,1.107207
38,wx_relative_humidity_2m_lag_168,1.093722
39,price_eur_mwh_lag_24,1.082234
40,price_eur_mwh_roll_std_24,1.079087
41,load_mw_delta_24h,1.063042
42,load_mw_roll_mean_24,1.040313
43,solar_mw_delta_24h,0.987168
44,carbon_kg_per_mwh_roll_std_24,0.977654
45,wx_temperature_2m_roll_std_24,0.971317
46,wx_cloud_cover_roll_std_168,0.930859
47,wx_cloud_cover_lag_24,0.906514
48,carbon_kg_per_mwh_roll_mean_168,0.8646
49,wx_relative_humidity_2m_lag_1,0.863421
50,wx_relative_humidity_2m_roll_std_24,0.848282
51,wx_cloud_cover_roll_std_24,0.835909
52,wx_cloud_cover,0.825407
53,price_eur_mwh_roll_std_168,0.825141
54,wx_temperature_2m_lag_24,0.817516
55,load_mw_roll_mean_168,0.802165
56,wx_cloud_cover_lag_168,0.799167
57,wind_mw_lag_168,0.792239
58,load_mw_roll_std_24,0.788446
59,wx_relative_humidity_2m_roll_mean_24,0.784487
60,wx_temperature_2m,0.742506
61,wind_mw_roll_mean_168,0.73188
62,wx_relative_humidity_2m,0.722544
63,load_mw_roll_std_168,0.704829
64,wx_temperature_2m_roll_std_168,0.696338
65,carbon_kg_per_mwh_roll_std_168,0.679235
66,wx_relative_humidity_2m_roll_std_168,0.666033
67,wx_cloud_cover_roll_mean_168,0.652953
68,wx_relative_humidity_2m_roll_mean_168,0.603902
69,wx_wind_speed_10m_roll_mean_168,0.564412
70,solar_mw_roll_std_24,0.562178
71,wx_temperature_2m_lag_168,0.537066
72,is_evening_peak,0.527838
73,wx_precipitation_roll_std_24,0.436427
74,wx_temperature_2m_roll_mean_24,0.42353
75,wx_precipitation_roll_std_168,0.418045
76,wx_precipitation_roll_mean_168,0.362732
77,season,0.356636
78,solar_mw_roll_std_168,0.34059
79,wx_precipitation_roll_mean_24,0.274241
80,dayofweek,0.27254
81,solar_mw_roll_mean_168,0.262978
82,wx_precipitation_lag_168,0.225255
83,wx_precipitation,0.166437
84,is_daylight,0.16368
85,wx_precipitation_lag_24,0.15129
86,wx_precipitation_lag_1,0.135049
87,wx_temperature_2m_roll_mean_168,0.068016
88,month,0.053963
89,is_morning_peak,0.016547
90,is_weekend,0.005839
91,is_holiday,0.0
92,is_pre_holiday,0.0
93,is_post_holiday,0.0
