step,speed_mps,position_m,violated,intervened,w_t
0,5.5,1.375,False,False,1.0
1,6.0,2.875,False,False,0.05
2,6.5,4.5,False,False,0.05
3,7.0,6.25,False,False,0.05
4,7.5,8.125,False,False,0.05
5,8.0,10.125,False,False,0.05
6,8.5,12.25,False,False,0.05
7,9.0,14.5,False,False,0.05
8,9.5,16.875,False,False,0.05
9,10.0,19.375,False,False,0.05
10,10.5,22.0,False,False,0.05
11,11.0,24.75,False,False,0.05
12,11.5,27.625,False,False,0.05
13,12.0,30.625,False,False,0.05
14,12.5,33.75,False,False,0.05
15,13.0,37.0,False,False,0.05
16,13.5,40.375,False,False,0.05
17,14.0,43.875,False,False,0.05
18,14.5,47.5,False,False,0.05
19,15.0,51.25,False,False,0.05
20,15.5,55.125,False,False,0.05
21,16.0,59.125,False,False,0.05
22,16.5,63.25,False,False,0.05
23,17.0,67.5,False,False,0.05
24,17.5,71.875,False,False,1.0
25,18.0,76.375,False,False,1.0
26,18.5,81.0,False,False,1.0
27,19.0,85.75,False,False,1.0
28,19.5,90.625,False,False,1.0
29,20.0,95.625,False,False,1.0
30,20.5,100.75,False,False,1.0
31,21.0,106.0,False,False,1.0
32,21.5,111.375,False,False,1.0
33,22.0,116.875,False,False,1.0
34,22.5,122.5,False,False,1.0
35,23.0,128.25,False,False,1.0
36,23.5,134.125,False,False,1.0
37,24.0,140.125,False,False,1.0
38,24.5,146.25,False,False,1.0
39,25.0,152.5,False,False,1.0
40,25.5,158.875,False,False,1.0
41,26.0,165.375,False,False,1.0
42,26.5,172.0,False,False,1.0
43,27.0,178.75,False,False,1.0
44,27.5,185.625,False,False,1.0
45,28.0,192.625,False,False,1.0
46,28.5,199.75,False,False,1.0
47,29.0,207.0,False,False,1.0
